Alaska,0,http://donyoung.house.gov/,202-225-5765,Don Young,//upload.wikimedia.org/wikipedia/commons/thumb/6/63/Don_Young%2C_official_photo_portrait%2C_color%2C_2006.jpg/75px-Don_Young%2C_official_photo_portrait%2C_color%2C_2006.jpg,Republican,,,9,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
American Samoa,0,https://radewagen.house.gov/,202-225-8577,,,,,,10,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
Northern Mariana Islands,0,http://sablan.house.gov/,202-225-2646,,,,,,303,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
Delaware,0,http://johncarney.house.gov/,202-225-4165,John Carney,//upload.wikimedia.org/wikipedia/commons/thumb/3/3c/John_C._Carney_Jr._official_portrait_112th_Congress.jpg/75px-John_C._Carney_Jr._official_portrait_112th_Congress.jpg,Democratic,,,89,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
District of Columbia,0,https://norton.house.gov/,202-225-8050,,,,,,90,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
Montana,0,https://zinke.house.gov/,202-225-3211,Ryan Zinke,//upload.wikimedia.org/wikipedia/commons/thumb/4/44/Ryan_Zinke_official_congressional_photo.jpg/75px-Ryan_Zinke_official_congressional_photo.jpg,Republican,,,237,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
North Dakota,0,http://cramer.house.gov,202-225-2611,Kevin Cramer,//upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Kevin_Cramer%2C_official_portrait%2C_113th_Congress.jpg/75px-Kevin_Cramer%2C_official_portrait%2C_113th_Congress.jpg,Republican,,,302,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
South Dakota,0,https://noem.house.gov/index.cfm/home,202-225-2801,Kristi Noem,//upload.wikimedia.org/wikipedia/commons/thumb/b/be/Kristi_Noem_portrait.jpg/75px-Kristi_Noem_portrait.jpg,Republican,,,358,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
Vermont,0,https://welch.house.gov/,202-225-4115,Peter Welch,//upload.wikimedia.org/wikipedia/commons/thumb/0/05/Representative_Welch_Official_Portrait.jpg/75px-Representative_Welch_Official_Portrait.jpg,Democratic,,,408,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
California,42,http://calvert.house.gov/,202-225-1986,Ken Calvert,//upload.wikimedia.org/wikipedia/commons/thumb/2/24/Ken_Calvert_Portrait.jpg/75px-Ken_Calvert_Portrait.jpg,Republican,,,65,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
North Carolina,2,https://ellmers.house.gov/,202-225-4531,Renee Ellmers,//upload.wikimedia.org/wikipedia/commons/thumb/1/19/ReneeEllmers113th.jpg/75px-ReneeEllmers113th.jpg,Republican,,,290,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
Puerto Rico,0,http://pierluisi.house.gov/,202-225-2615,,,,,,348,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
Texas,15,http://hinojosa.house.gov,202-225-2531,Rubén Hinojosa,//upload.wikimedia.org/wikipedia/commons/thumb/4/45/Rubengu.jpg/75px-Rubengu.jpg,Democratic,,,382,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
Alabama,1,https://byrne.house.gov/,202-225-4931,Bradley Byrne,//upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Rep_Bradley_Byrne.jpg/75px-Rep_Bradley_Byrne.jpg,Republican,,,2,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
Alabama,2,http://roby.house.gov/,202-225-2901,Martha Roby,//upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Martha_roby_113_congressional_portrait.jpg/75px-Martha_roby_113_congressional_portrait.jpg,Republican,,,3,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
Alabama,3,https://mikerogers.house.gov/,202-225-3261,Mike Rogers,//upload.wikimedia.org/wikipedia/commons/thumb/8/8a/MikeRogerPortrait.jpeg/75px-MikeRogerPortrait.jpeg,Republican,,,4,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
Alabama,4,https://aderholt.house.gov/,202-225-4876,Robert Aderholt,//upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Rep._Robert_B._Aderholt.jpg/75px-Rep._Robert_B._Aderholt.jpg,Republican,,,5,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
Alabama,5,https://brooks.house.gov/,202-225-4801,Mo Brooks,//upload.wikimedia.org/wikipedia/commons/thumb/1/18/Mo_Brooks%2C_Official_Portrait%2C_112th_Congress.jpg/75px-Mo_Brooks%2C_Official_Portrait%2C_112th_Congress.jpg,Republican,,,6,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
Alabama,6,https://palmer.house.gov/,202-225-4921,Gary Palmer,//upload.wikimedia.org/wikipedia/commons/thumb/2/28/Gary_Palmer_official_congressional_photo.jpg/75px-Gary_Palmer_official_congressional_photo.jpg,Republican,,,7,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
Alabama,7,https://sewell.house.gov/,202-225-2665,Terri Sewell,//upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Terri_Sewell%2C_Official_Portrait%2C_112th_Congress.jpg/75px-Terri_Sewell%2C_Official_Portrait%2C_112th_Congress.jpg,Democratic,,,8,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
Arizona,1,http://kirkpatrick.house.gov,202-225-3361,Ann Kirkpatrick,//upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Ann_Kirkpatrick.jpg/75px-Ann_Kirkpatrick.jpg,Democratic,,,11,2016-11-22 22:23:58.982282,2016-11-22 22:23:58.982282,
